Player,Nation,Age,Pos,Squad,Season,Min,Gls,Ast,xG,xA,npxG,xAG,G+A,Sh,SoT,G/Sh,G/SoT,PrgC,PrgP,PrgR,KP,1/3,PPA,CrsPA,Cmp%,TotDist,PrgDist,SCA,GCA,SCA90,GCA90,Tkl,TklW,Int,Blocks,Clr,Tkl+Int,Touches,Succ,Succ%,Carries,CrdY,CrdR,Fls,Fld,GA,Saves,Save%,CS,PSxG,PSxG+/-,#OPA,AvgDist,MP,Starts,90s,Mn/MP,PPM,+/-,+/-90,npxG+xAG,SoT%
Max Aarons,eng ENG,21,DF,Norwich City,2021-2022,2881.0,0.0,2.0,0.8,1.7,0.8,1.7,2.0,13.0,2.0,0.0,0.0,78,117,85,20,50,37,9,75.4,16588,6133,46,3,1.44,0.09,64.0,44,28,40,96,92,1841,34,50.0,953,8,0,27,3,,,,,,,,,34,32,32.0,85,0.53,-51,-1.59,2.5,15.384615384615385
Yunis Abdelhamid,ma MAR,33,DF,Reims,2021-2022,2983.0,2.0,0.0,1.2,0.6,1.2,0.8,2.0,18.0,6.0,0.11,0.33,23,119,14,9,95,7,0,81.4,25516,9586,22,1,0.66,0.03,48.0,27,68,26,104,116,1919,14,77.8,1194,5,1,39,0,,,,,,,,,34,34,33.1,88,1.12,-3,-0.09,2.0,33.33333333333333
Salis Abdul Samed,gh GHA,21,MF,Clermont Foot,2021-2022,2462.0,1.0,0.0,0.7,0.8,0.7,0.9,1.0,18.0,5.0,0.06,0.2,24,108,47,17,87,13,1,90.2,25518,5456,50,3,1.83,0.11,43.0,23,42,29,15,85,1948,26,63.4,1386,12,3,43,4,,,,,,,,,31,29,27.4,79,1.1,-18,-0.66,1.6,27.77777777777778
Laurent Abergel,fr FRA,28,MF,Lorient,2021-2022,2956.0,0.0,2.0,1.5,2.6,1.5,3.7,2.0,29.0,7.0,0.0,0.0,30,171,73,35,147,23,9,80.8,23767,6837,83,9,2.53,0.27,110.0,60,55,49,13,165,2032,39,63.9,1311,9,0,41,7,,,,,,,,,34,34,32.8,87,0.82,-32,-0.97,5.2,24.137931034482758
Charles Abi,fr FRA,21,FW,Saint-Étienne,2021-2022,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0,0,42.9,46,0,1,0,2.0,0.0,0.0,0,0,0,0,0,12,0,,7,0,0,1,0,,,,,,,,,1,1,0.5,45,1.0,0,0.0,0.0,
Dickson Abiama,ng NGA,22,FW,Greuther Fürth,2021-2022,726.0,0.0,1.0,1.8,0.6,1.8,1.3,1.0,18.0,4.0,0.0,0.0,14,17,38,7,5,6,0,61.3,1009,278,15,2,1.85,0.25,11.0,7,4,6,8,15,246,7,35.0,131,3,0,17,2,,,,,,,,,24,5,8.1,30,0.46,-21,-2.6,3.1,22.22222222222222
Matthis Abline,fr FRA,18,FW,Rennes,2021-2022,103.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,2.0,0.0,0.0,,1,2,6,0,0,1,0,77.8,72,15,0,0,0.0,0.0,0.0,0,0,0,1,0,20,3,50.0,11,0,0,2,0,,,,,,,,,7,1,1.1,15,1.14,-1,-0.87,0.3,0.0
Tammy Abraham,eng ENG,23,FW,Roma,2021-2022,3084.0,17.0,4.0,20.7,2.4,18.4,4.8,21.0,92.0,35.0,0.15,0.4,41,70,199,38,35,27,3,69.7,6820,1622,94,14,2.74,0.41,27.0,13,5,20,27,32,1064,38,49.4,494,9,0,38,7,,,,,,,,,37,36,34.3,83,1.7,16,0.47,23.2,38.04347826086957
Luis Abram,pe PER,25,DF,Granada,2021-2022,560.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,2.0,0.0,0.0,,1,10,1,0,8,0,0,84.5,3666,1177,3,1,0.48,0.16,6.0,3,5,4,37,11,286,0,,149,2,0,5,0,,,,,,,,,8,6,6.2,70,1.38,3,0.48,0.3,0.0
Francesco Acerbi,it ITA,33,DF,Lazio,2021-2022,2536.0,4.0,0.0,2.4,0.8,2.4,0.5,4.0,15.0,7.0,0.27,0.57,31,119,10,5,119,6,0,89.9,34996,12273,17,2,0.61,0.07,25.0,12,34,6,92,59,2295,4,66.7,1364,2,1,18,2,,,,,,,,,30,29,28.2,85,1.67,11,0.39,2.9,46.666666666666664
Ragnar Ache,de GER,23,"MF,FW",Eint Frankfurt,2021-2022,259.0,0.0,1.0,0.4,0.3,0.4,0.4,1.0,10.0,2.0,0.0,0.0,8,2,29,3,3,3,2,57.8,481,117,8,1,2.78,0.35,2.0,0,0,4,1,2,117,6,54.5,72,0,0,5,1,,,,,,,,,13,1,2.9,20,1.23,1,0.35,0.8,20.0
Mohamed Achi,fr FRA,19,MF,Nantes,2021-2022,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,66.7,102,10,0,0,0.0,0.0,0.0,0,0,0,0,0,9,0,,9,0,0,0,0,,,,,,,,,1,0,0.1,10,1.0,0,0.0,0.0,
Marcos Acuña,ar ARG,29,DF,Sevilla,2021-2022,2260.0,1.0,3.0,1.2,4.1,1.2,2.9,4.0,16.0,5.0,0.06,0.2,73,131,153,43,115,43,27,78.6,29328,10206,75,3,2.99,0.12,50.0,29,14,30,25,64,2184,44,66.7,1256,10,0,38,3,,,,,,,,,31,26,25.1,73,1.87,19,0.76,4.1,31.25
Che Adams,sct SCO,25,FW,Southampton,2021-2022,2039.0,7.0,3.0,7.1,1.7,7.1,3.0,10.0,49.0,24.0,0.14,0.29,19,33,153,26,24,10,0,64.4,4188,1017,51,5,2.25,0.22,13.0,6,8,22,18,21,712,20,57.1,394,0,0,29,11,,,,,,,,,30,23,22.7,68,1.03,-15,-0.66,10.1,48.97959183673469
Tyler Adams,us USA,22,MF,RB Leipzig,2021-2022,1351.0,0.0,1.0,0.2,1.4,0.2,0.9,1.0,2.0,0.0,0.0,,20,96,23,7,85,8,0,86.5,11903,3451,26,4,1.73,0.27,23.0,7,16,15,19,39,1062,13,56.5,607,5,0,19,0,,,,,,,,,24,12,15.0,56,1.88,13,0.87,1.1,0.0
Sargis Adamyan,am ARM,28,"FW,MF",Hoffenheim,2021-2022,331.0,1.0,0.0,0.7,0.5,0.7,0.5,1.0,3.0,2.0,0.33,0.5,9,9,26,4,5,4,2,72.3,991,255,11,1,2.98,0.27,8.0,6,1,3,2,9,149,6,50.0,89,0,0,5,0,,,,,,,,,13,2,3.7,25,1.85,2,0.54,1.2,66.66666666666666
Martin Adeline,fr FRA,17,"MF,FW",Reims,2021-2022,352.0,0.0,0.0,0.4,0.2,0.4,0.5,0.0,4.0,1.0,0.0,0.0,5,16,13,3,8,3,0,72.8,1681,608,10,0,2.56,0.0,15.0,11,11,12,6,26,193,6,66.7,108,1,0,16,0,,,,,,,,,8,2,3.9,44,1.13,-1,-0.26,0.9,25.0
Amine Adli,ma MAR,21,"FW,MF",Leverkusen,2021-2022,1256.0,3.0,2.0,4.3,1.5,4.3,2.1,5.0,37.0,19.0,0.08,0.16,51,56,105,14,27,19,4,72.9,5007,1529,49,6,3.51,0.43,27.0,14,11,27,12,38,729,21,56.8,456,3,0,27,2,,,,,,,,,25,13,14.0,50,1.76,1,0.07,6.4,51.35135135135135
Yacine Adli,fr FRA,21,"MF,FW",Bordeaux,2021-2022,2260.0,1.0,7.0,2.0,4.3,2.0,5.7,8.0,32.0,15.0,0.03,0.07,66,164,99,59,122,36,4,72.4,17505,6047,121,18,4.82,0.72,43.0,27,37,25,11,80,1531,46,57.5,996,5,0,21,5,,,,,,,,,36,25,25.1,63,0.75,-26,-1.04,7.7,46.875
Michel Aebischer,ch SUI,24,MF,Bologna,2021-2022,443.0,0.0,0.0,0.1,0.3,0.1,0.4,0.0,2.0,2.0,0.0,0.0,2,19,9,6,14,4,1,85.8,3121,883,10,0,2.05,0.0,14.0,5,6,5,3,20,292,1,25.0,143,1,0,13,0,,,,,,,,,12,4,4.9,37,1.42,1,0.2,0.5,100.0
Felix Afena-Gyan,gh GHA,18,"FW,MF",Roma,2021-2022,668.0,2.0,0.0,1.7,0.2,1.7,0.6,2.0,17.0,7.0,0.12,0.29,19,7,77,6,4,4,1,75.0,1530,229,23,2,3.1,0.27,10.0,3,3,4,0,13,278,5,25.0,193,5,1,15,5,,,,,,,,,17,6,7.4,39,1.65,4,0.54,2.3,41.17647058823529
Martin Agirregabiria,es ESP,25,DF,Alavés,2021-2022,1616.0,0.0,1.0,0.2,0.7,0.2,0.7,1.0,4.0,0.0,0.0,,15,57,40,14,51,20,12,69.1,9008,4537,32,3,1.78,0.17,34.0,22,25,16,38,59,966,14,73.7,429,4,0,24,2,,,,,,,,,24,17,18.0,67,0.96,-18,-1.0,0.8999999999999999,0.0
Julen Agirrezabala,es ESP,20,GK,Athletic Club,2021-2022,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,0,0,75.6,1721,1232,1,0,0.25,0.0,0.0,0,0,0,2,0,92,0,,41,0,0,0,0,5.0,15.0,75.0,1.0,5.0,0.0,6.0,17.5,4,4,4.0,90,1.25,0,0.0,0.0,
Lucien Agoume,fr FRA,19,MF,Brest,2021-2022,1868.0,0.0,0.0,1.2,0.6,1.1,0.7,0.0,15.0,1.0,0.0,0.0,16,116,28,13,86,8,0,83.9,15009,4513,35,2,1.69,0.1,51.0,31,52,20,27,103,1210,22,68.8,705,6,0,31,1,,,,,,,,,27,21,20.8,69,1.3,-5,-0.24,1.8,6.666666666666667
Kevin Agudelo,co COL,22,"MF,FW",Spezia,2021-2022,1237.0,3.0,1.0,2.6,0.7,2.6,0.9,4.0,21.0,11.0,0.14,0.27,41,46,56,10,33,11,1,72.0,3788,1163,39,3,2.84,0.22,44.0,26,8,22,6,52,583,28,54.9,323,2,1,36,4,,,,,,,,,23,12,13.7,54,0.91,-7,-0.51,3.5,52.38095238095239
Nayef Aguerd,ma MAR,25,DF,Rennes,2021-2022,2735.0,2.0,2.0,2.1,0.3,2.1,0.3,4.0,25.0,7.0,0.08,0.29,11,101,1,4,118,2,0,88.9,40414,15329,15,4,0.49,0.13,27.0,18,24,12,127,51,2469,5,83.3,1611,3,1,20,1,,,,,,,,,31,31,30.4,88,1.94,37,1.22,2.4,28.000000000000004
Sergio Agüero,ar ARG,33,FW,Barcelona,2021-2022,151.0,1.0,0.0,1.0,0.2,1.0,0.1,1.0,6.0,1.0,0.17,1.0,4,3,13,1,3,0,0,71.4,396,45,3,0,1.78,0.0,1.0,1,0,0,0,1,57,1,50.0,34,0,0,1,0,,,,,,,,,4,2,1.7,38,1.0,-1,-0.6,1.1,16.666666666666664
Ruben Aguilar,fr FRA,28,DF,Monaco,2021-2022,2140.0,0.0,2.0,0.3,2.9,0.3,0.9,2.0,10.0,2.0,0.0,0.0,61,157,101,12,124,32,5,83.0,23194,8766,32,4,1.35,0.17,78.0,53,44,27,57,122,1995,5,45.5,1133,4,0,32,2,,,,,,,,,28,22,23.8,76,1.96,20,0.84,1.2,20.0
Álvaro Aguirre,es ESP,21,FW,Rayo Vallecano,2021-2022,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,100.0,35,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4,0,,1,0,0,0,0,,,,,,,,,1,0,0.1,9,0.0,0,0.0,0.0,
Naouirou Ahamada,fr FRA,19,"MF,DF",Stuttgart,2021-2022,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,3,1,0,1,0,0,87.5,501,62,0,0,0.0,0.0,1.0,0,0,0,0,1,38,0,,33,0,0,2,0,,,,,,,,,3,0,0.7,20,0.0,0,0.0,0.0,
Anel Ahmedhodžić,ba BIH,22,DF,Bordeaux,2021-2022,1350.0,0.0,1.0,0.4,0.4,0.4,0.9,1.0,8.0,4.0,0.0,0.0,18,63,12,11,39,5,1,89.3,14146,4562,20,2,1.33,0.13,38.0,26,22,3,44,60,1005,1,25.0,715,6,0,21,0,,,,,,,,,15,15,15.0,90,0.67,-20,-1.33,1.3,50.0
Jean-Eudes Aholou,ci CIV,27,MF,Strasbourg,2021-2022,1004.0,1.0,1.0,1.9,1.0,1.9,0.8,2.0,17.0,2.0,0.06,0.5,16,38,39,6,23,9,1,82.3,5149,1077,23,3,2.06,0.27,16.0,9,19,11,7,35,541,11,47.8,322,2,0,21,1,,,,,,,,,25,11,11.2,40,1.76,5,0.45,2.7,11.76470588235294
