Player,Nation,Age,Pos,Squad,Season,Min,Gls,Ast,xG,xA,npxG,xAG,G+A,Sh,SoT,G/Sh,G/SoT,PrgC,PrgP,PrgR,KP,1/3,PPA,CrsPA,Cmp%,TotDist,PrgDist,SCA,GCA,SCA90,GCA90,Tkl,TklW,Int,Blocks,Clr,Tkl+Int,Touches,Succ,Succ%,Carries,CrdY,CrdR,Fls,Fld,GA,Saves,Save%,CS,PSxG,PSxG+/-,#OPA,AvgDist,MP,Starts,90s,Mn/MP,PPM,+/-,+/-90,npxG+xAG,SoT%
Joseph Aidoo,gh GHA,25,DF,Celta Vigo,2021-2022,2637.0,0.0,0.0,0.3,0.5,0.3,0.3,0.0,6.0,1.0,0.0,0.0,25,110,3,6,101,5,1,81.0,26020,8332,16,2,0.55,0.07,39.0,26,38,9,96,77,1828,9,81.8,1111,1,0,10,0,,,,,,,,,32,30,29.3,82,1.22,4,0.14,0.6,16.666666666666664
Ola Aina,ng NGA,24,DF,Torino,2021-2022,1437.0,0.0,0.0,0.2,1.4,0.2,1.8,0.0,10.0,4.0,0.0,0.0,42,68,78,16,43,20,4,70.9,8693,3540,37,1,2.32,0.06,27.0,19,28,30,30,55,950,18,45.0,483,4,0,18,3,,,,,,,,,21,17,16.0,68,1.29,-2,-0.13,2.0,40.0
Rayan Aït-Nouri,dz ALG,20,"DF,MF",Wolves,2021-2022,1828.0,1.0,2.0,0.6,1.1,0.6,1.6,3.0,13.0,4.0,0.08,0.25,60,49,127,17,28,14,10,74.4,12151,4064,45,6,2.22,0.3,64.0,36,22,19,39,86,1293,42,51.9,659,4,0,14,2,,,,,,,,,23,20,20.3,79,1.13,-1,-0.05,2.2,30.76923076923077
Kristoffer Ajer,no NOR,23,DF,Brentford,2021-2022,1995.0,1.0,3.0,0.8,1.8,0.8,1.7,4.0,7.0,1.0,0.14,1.0,30,82,29,8,41,13,2,70.3,10133,4740,33,7,1.5,0.32,29.0,18,26,28,74,55,1101,13,72.2,488,5,0,12,1,,,,,,,,,24,23,22.2,83,1.29,-3,-0.14,2.5,14.285714285714285
Ludovic Ajorque,fr FRA,27,FW,Strasbourg,2021-2022,2738.0,12.0,8.0,10.6,4.0,8.3,7.0,20.0,56.0,24.0,0.16,0.38,21,69,217,46,30,23,4,72.1,9171,1389,84,10,2.76,0.33,36.0,25,8,16,31,44,1232,14,51.9,651,5,1,40,9,,,,,,,,,36,31,30.4,76,1.64,10,0.33,15.3,42.857142857142854
Manuel Akanji,ch SUI,26,DF,Dortmund,2021-2022,2261.0,1.0,0.0,1.9,0.7,1.9,0.1,1.0,13.0,3.0,0.08,0.33,18,115,8,2,122,2,0,90.4,36320,13836,16,1,0.64,0.04,33.0,23,35,10,58,68,2196,8,88.9,1518,3,0,19,0,,,,,,,,,26,25,25.1,87,2.0,20,0.8,2.0,23.076923076923077
Carlos Akapo,gq EQG,28,DF,Cádiz,2021-2022,1844.0,0.0,0.0,0.5,1.1,0.5,0.3,0.0,10.0,1.0,0.0,0.0,35,51,52,7,38,14,11,73.4,10222,3920,26,1,1.27,0.05,43.0,31,51,20,61,94,1084,12,57.1,446,4,0,23,3,,,,,,,,,25,21,20.5,74,1.08,-12,-0.59,0.8,10.0
Marley Aké,fr FRA,20,"FW,MF",Juventus,2021-2022,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,1,4,0,2,1,1,75.0,184,58,1,0,1.18,0.0,0.0,0,1,1,0,1,24,0,0.0,18,1,0,6,0,,,,,,,,,4,0,0.9,19,0.5,-3,-3.51,0.0,
Nathan Aké,nl NED,26,DF,Manchester City,2021-2022,923.0,2.0,0.0,0.7,0.5,0.7,0.6,2.0,5.0,2.0,0.4,1.0,12,57,8,2,63,3,0,90.7,13200,4534,5,0,0.49,0.0,16.0,9,8,5,23,24,956,0,0.0,677,0,0,9,0,,,,,,,,,14,10,10.3,66,2.64,16,1.56,1.2999999999999998,40.0
Ilias Akhomach,ma MAR,17,FW,Barcelona,2021-2022,124.0,0.0,0.0,0.1,0.8,0.1,0.6,0.0,4.0,2.0,0.0,0.0,7,11,13,4,4,7,2,81.8,581,186,9,0,6.53,0.0,2.0,0,0,2,0,2,71,1,33.3,54,0,0,3,2,,,,,,,,,2,2,1.4,62,3.0,1,0.73,0.7,50.0
Maghnes Akliouche,fr FRA,19,"MF,FW",Monaco,2021-2022,54.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,2.0,1.0,0.0,0.0,2,5,7,1,3,3,0,90.9,254,86,1,0,1.67,0.0,2.0,0,0,0,0,2,34,0,0.0,27,1,0,4,0,,,,,,,,,7,0,0.6,8,1.57,-1,-1.67,0.1,50.0
Paul Akouokou,ci CIV,23,MF,Betis,2021-2022,516.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,2.0,0.0,0.0,,3,30,5,3,32,2,1,87.4,4724,1363,7,0,1.22,0.0,14.0,9,11,4,6,25,376,6,75.0,195,2,1,13,0,,,,,,,,,8,6,5.7,65,1.38,4,0.7,0.1,0.0
Jean-Daniel Akpa-Akpro,ci CIV,28,MF,Lazio,2021-2022,315.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,3.0,0.0,0.0,,5,3,8,2,6,1,0,84.0,1077,154,3,0,0.86,0.0,17.0,10,2,8,6,19,166,6,60.0,89,1,0,13,0,,,,,,,,,10,4,3.5,32,1.5,-2,-0.57,0.1,0.0
Kevin Akpoguma,ng NGA,26,"DF,FW",Hoffenheim,2021-2022,1527.0,2.0,2.0,1.2,2.0,1.2,2.6,4.0,12.0,4.0,0.17,0.5,36,87,40,11,57,11,2,75.4,11479,4667,32,2,1.89,0.12,33.0,19,20,24,29,53,1139,21,44.7,567,5,0,25,2,,,,,,,,,26,19,17.0,59,1.5,3,0.18,3.8,33.33333333333333
David Alaba,at AUT,29,DF,Real Madrid,2021-2022,2642.0,2.0,3.0,1.6,3.0,1.6,2.2,5.0,21.0,7.0,0.1,0.29,40,154,76,21,143,15,3,90.9,29585,10903,45,8,1.53,0.27,23.0,13,22,9,70,45,2189,4,40.0,1529,2,0,16,0,,,,,,,,,30,30,29.4,88,2.3,34,1.16,3.8000000000000003,33.33333333333333
Sofiane Alakouch,ma MAR,23,"DF,MF",Metz,2021-2022,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3,5,10,1,6,0,0,80.6,1154,309,4,0,2.28,0.0,7.0,4,1,7,4,8,131,2,50.0,72,1,0,5,2,,,,,,,,,4,0,1.8,40,1.0,-2,-1.14,0.0,0.0
Tomás Alarcón,cl CHI,22,MF,Cádiz,2021-2022,1425.0,0.0,1.0,1.1,1.4,1.1,1.1,1.0,15.0,2.0,0.0,0.0,6,55,13,14,41,7,4,69.6,7977,2385,28,2,1.77,0.13,31.0,20,30,18,31,61,747,4,50.0,331,5,0,19,0,,,,,,,,,23,16,15.8,62,0.96,-11,-0.69,2.2,13.333333333333334
Lucas Alario,ar ARG,28,FW,Leverkusen,2021-2022,655.0,6.0,0.0,6.0,1.5,5.2,1.0,6.0,22.0,13.0,0.27,0.46,6,10,44,7,5,5,0,67.3,1392,257,27,4,3.69,0.55,6.0,5,1,9,6,7,261,12,85.7,153,2,0,8,2,,,,,,,,,27,5,7.3,24,1.74,8,1.1,6.2,59.09090909090909
Jordi Alba,es ESP,32,DF,Barcelona,2021-2022,2644.0,2.0,10.0,1.5,5.8,1.5,7.1,12.0,31.0,6.0,0.06,0.33,47,291,213,58,212,60,18,83.5,36392,12699,89,14,3.03,0.48,47.0,34,33,38,41,80,3031,6,27.3,1738,11,0,26,2,,,,,,,,,30,30,29.4,88,2.0,22,0.75,8.6,19.35483870967742
Josué Albert,gf GUF,29,DF,Clermont Foot,2021-2022,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,2,0,0,0,0,83.3,62,35,0,0,0.0,0.0,0.0,0,1,0,2,1,10,0,,6,0,0,1,0,,,,,,,,,2,0,0.2,11,0.5,-1,-4.09,0.0,0.0
Luis Alberto,es ESP,28,MF,Lazio,2021-2022,2353.0,5.0,9.0,3.3,6.7,3.3,7.8,14.0,47.0,16.0,0.11,0.31,84,223,89,65,235,44,5,82.5,25002,8252,120,16,4.59,0.61,29.0,17,13,29,7,42,2177,27,61.4,1343,5,0,13,5,,,,,,,,,34,27,26.1,69,1.74,16,0.61,11.1,34.04255319148936
Raúl Albiol,es ESP,35,DF,Villarreal,2021-2022,2465.0,0.0,0.0,0.4,0.2,0.4,0.1,0.0,5.0,1.0,0.0,0.0,11,90,0,4,63,1,0,85.8,28053,9682,10,2,0.37,0.07,26.0,15,21,12,126,47,1799,3,75.0,1054,8,0,18,0,,,,,,,,,28,28,27.4,88,1.5,17,0.62,0.5,20.0
Marc Albrighton,eng ENG,31,"FW,DF",Leicester City,2021-2022,1132.0,1.0,2.0,0.5,1.0,0.5,2.0,3.0,4.0,1.0,0.25,1.0,21,26,56,11,23,8,6,62.2,5152,2040,19,2,1.51,0.16,31.0,19,14,27,20,45,705,15,37.5,357,3,0,6,3,,,,,,,,,17,11,12.6,67,1.35,-7,-0.56,2.5,25.0
Paco Alcácer,es ESP,27,FW,Villarreal,2021-2022,787.0,1.0,3.0,3.9,1.2,3.9,1.6,4.0,18.0,7.0,0.06,0.14,4,10,45,7,4,5,0,70.3,1444,197,15,6,1.71,0.69,9.0,3,6,5,1,15,253,5,50.0,124,1,0,5,0,,,,,,,,,18,10,8.7,44,1.44,5,0.57,5.5,38.88888888888889
Thiago Alcántara,es ESP,30,MF,Liverpool,2021-2022,1534.0,1.0,4.0,1.9,1.7,1.9,2.3,5.0,25.0,6.0,0.04,0.17,24,214,45,29,211,26,1,88.9,24737,7150,67,6,3.93,0.35,48.0,29,26,13,13,74,1700,20,62.5,1039,2,0,19,1,,,,,,,,,25,17,17.0,61,2.64,36,2.11,4.199999999999999,24.0
Rubén Alcaraz,es ESP,30,MF,Cádiz,2021-2022,1105.0,2.0,0.0,1.3,1.2,1.3,0.9,2.0,23.0,6.0,0.09,0.33,26,87,21,14,85,12,3,83.4,10541,3267,39,1,3.18,0.08,41.0,20,13,13,14,54,807,11,64.7,457,7,0,30,3,,,,,,,,,14,12,12.3,79,1.21,-2,-0.16,2.2,26.08695652173913
Omar Alderete,py PAR,24,DF,Valencia,2021-2022,2403.0,2.0,0.0,0.8,0.5,0.8,0.1,2.0,18.0,5.0,0.11,0.4,17,89,3,4,78,7,0,60.4,13798,6805,17,2,0.64,0.07,53.0,34,35,6,153,88,1292,13,92.9,587,15,0,42,0,,,,,,,,,29,28,26.7,83,1.21,-2,-0.07,0.9,27.77777777777778
Iván Alejo,es ESP,26,"MF,FW",Cádiz,2021-2022,1065.0,2.0,2.0,1.4,2.1,1.4,1.8,4.0,12.0,4.0,0.17,0.5,63,25,88,20,19,23,23,58.7,3129,1194,38,4,3.21,0.34,33.0,15,8,18,17,41,513,15,34.9,300,7,0,37,0,,,,,,,,,20,11,11.8,53,1.2,5,0.42,3.2,33.33333333333333
Doğan Alemdar,tr TUR,18,GK,Rennes,2021-2022,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,0,2,0,0,73.4,7942,5718,1,1,0.08,0.08,0.0,0,0,0,9,0,419,0,,272,1,0,0,0,13.0,22.0,66.7,4.0,12.3,-0.7,24.0,19.1,12,12,12.0,90,1.58,16,1.33,0.0,
Carles Aleñá,es ESP,23,MF,Getafe,2021-2022,2320.0,1.0,2.0,1.8,1.4,1.8,1.3,3.0,46.0,14.0,0.02,0.07,33,81,65,20,66,14,5,78.6,11604,2454,64,4,2.48,0.16,27.0,19,15,25,16,42,1095,17,48.6,660,6,1,50,6,,,,,,,,,33,30,25.8,70,1.12,3,0.12,3.1,30.434782608695656
Trent Alexander-Arnold,eng ENG,22,DF,Liverpool,2021-2022,2853.0,2.0,12.0,2.4,13.0,2.4,12.0,14.0,51.0,15.0,0.04,0.13,53,267,201,90,245,85,25,74.0,40112,15683,160,18,5.05,0.57,40.0,23,43,34,40,83,3036,19,48.7,1504,2,0,12,1,,,,,,,,,32,32,31.7,89,2.38,58,1.83,14.4,29.411764705882355
Mohamed Ali Cho,fr FRA,17,FW,Angers,2021-2022,1837.0,4.0,1.0,6.4,2.4,6.4,2.7,5.0,42.0,15.0,0.1,0.27,60,22,150,14,17,10,2,70.1,2951,510,42,7,2.06,0.34,10.0,5,8,12,0,18,570,25,43.1,388,6,2,32,5,,,,,,,,,32,21,20.4,57,1.19,2,0.1,9.100000000000001,35.714285714285715
Alisson,br BRA,28,GK,Liverpool,2021-2022,3240.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,,,0,1,0,1,16,1,0,87.5,28439,18286,2,1,0.06,0.03,3.0,1,0,0,28,3,1469,1,100.0,873,0,0,0,0,24.0,76.0,75.8,20.0,24.4,1.4,89.0,18.7,36,36,36.0,90,2.44,63,1.75,0.2,
Allan,br BRA,30,MF,Everton,2021-2022,2183.0,0.0,2.0,0.2,1.0,0.2,0.8,2.0,7.0,3.0,0.0,0.0,26,130,18,15,103,20,3,79.2,12868,4192,38,7,1.57,0.29,74.0,44,23,26,39,97,1259,21,67.7,650,7,1,30,1,,,,,,,,,28,25,24.3,78,1.14,-12,-0.49,1.0,42.857142857142854
Jim Allevinah,ga GAB,26,FW,Clermont Foot,2021-2022,1488.0,1.0,2.0,2.8,1.4,2.8,1.9,3.0,43.0,15.0,0.02,0.07,77,56,118,15,44,10,2,76.3,6103,1306,53,3,3.21,0.18,18.0,13,6,18,4,24,747,32,47.1,565,1,0,16,1,,,,,,,,,30,13,16.5,50,0.93,-17,-1.03,4.699999999999999,34.883720930232556
Dele Alli,eng ENG,25,MF,Tottenham,2021-2022,657.0,1.0,0.0,1.6,0.4,0.8,0.3,1.0,3.0,2.0,0.0,0.0,8,18,22,2,14,4,1,77.6,2353,563,7,1,0.96,0.14,14.0,8,6,6,16,20,339,12,44.4,184,1,0,12,3,,,,,,,,,10,8,7.3,66,1.4,-7,-0.96,1.1,66.66666666666666
Dele Alli,eng ENG,25,"MF,FW",Everton,2021-2022,338.0,0.0,0.0,0.1,0.4,0.1,0.4,0.0,3.0,0.0,0.0,,7,13,21,7,10,3,1,72.6,1696,434,13,1,3.46,0.27,7.0,2,6,4,10,13,225,5,35.7,108,3,0,9,0,,,,,,,,,11,1,3.8,31,0.91,-3,-0.8,0.5,0.0
Miguel Almirón,py PAR,27,"MF,FW",Newcastle Utd,2021-2022,1716.0,1.0,0.0,1.7,0.6,1.7,0.9,1.0,32.0,7.0,0.03,0.14,44,46,85,16,26,5,0,78.7,5720,1254,49,4,2.57,0.21,47.0,29,20,19,13,67,728,26,66.7,446,2,0,17,2,,,,,,,,,30,19,19.1,57,1.2,-16,-0.84,2.6,21.875
Marcos Alonso,es ESP,30,DF,Chelsea,2021-2022,2167.0,4.0,4.0,2.8,3.4,2.8,4.5,8.0,43.0,10.0,0.09,0.4,51,93,192,43,67,34,15,76.9,17781,5763,93,10,3.86,0.42,41.0,29,43,39,53,84,1791,15,42.9,882,8,0,25,2,,,,,,,,,28,25,24.1,77,1.64,20,0.83,7.3,23.25581395348837
